Dog_Number,Total_Complains,hash_binary
352,2,455B67CA7D3F66A89D7673B35378A5AC6B62A34167F94C63224A234C87E9DB9F
2014,1,8961E2CE749599397A5F3C50F8BD05325B8073D7958A8AB38C08AD174AEFE5D2
2123,2,537B929E6AB749E24ADC6C1D259E6C4C51FBC4FAD6D13F9207206ADC772DB2FE
2327,1,EB338305FF8C421C107EF9A8982C06599A1808FCC9C2CD7B5192276782E4536F
5757,2,E2D6BCA16CC1BD35648931F8E269CFC1AC3783360257E4024F625D5BB129D99B
7878,1,93F9B326D12A9DA038A50BF21FAF39AC70E6327C5C9E140649162395D853E285
6692,6,EA6436E388DA67EB2E3E402936CD88DE8B316054471E16D4A316B7F59437C79C
2713,1,2BB0C198699B0F7BDF6EE1EB2068E5545A1455967F0DD1196C5D62BC45AE9A8F
2736,1,018C467A29E31281950BF62CAE654D27568350F88DE6566712EDF130486E611E
2803,1,A073CA9CA0CDD5686F71A51DAFEA3CD6BB0C7443CEC7536217B3C0A269815054
1996,1,2A4242C0AFA43485970DA42DCB2DF963E07B6D2C3566E9A41F737204950A06F9
7592,2,4ACC419CD3C494EE3EF48C7A426A9CD9B6C5AD4AC1511B77931710D343A2E9BC
2867,1,6FAA74CE6BB6643A353F2921D2958D0461033E6D266DE5CF43BC24125BE0E6ED
2935,1,D59BA1501A83C5A78FB74DD67892839B21CCF25AA0FAE0357B25E8CBA2D49B13
3033,1,8A07DAE836D70608F24E5975D1E1678E428203EA29373222568216BEAC4227DD
4635,5,83FCFA70FF0EA70DCC29B31AA73B346F65B8D132E71B3FF21D2ECF102A76CC4D
3209,1,0D52944B91E7491CF82CA04811A397C327232B563FD5AA4DB67D6569C568DA8B
3220,1,65C16D752D74D02219BF9C2E41E433B51968B60DA1268268F97F507356198A9F
3347,1,9ACEFE81B0074365C3B6C439F94857A88B3C02A96C066FA7354CB58EEDCFBB6B
3372,1,C1B14B1A6CFDDE051CE5894DD0C4AE5BEDEF8B8DEA1474C849C99D392A946E8A
3492,2,A6D512BDC285E081AA5D0982245C264A624D0E75980EDF450E639AC1BD3E4F98
6775,4,160AE875ED6F105621503BAE5BA69E96B30AB146F0E08494700D8B40B265D28E
3575,1,504B2479E160210BFB322C62E94564C0DFDDAB5AE1411D42ECDE593B90F7772B
6768,1,E7068F8C40D4FC74A9A8029E057616EB2B205A24C85E14E47A17E9B5DE7DFCDE
4083,3,683B45A9E62B695DCA2A60F098DDEC53BBEA5965D0CB2D08364B5BC7EFFF60B4
7535,1,182BF3026A88EC39031BEBE7B8731E1F05630845266EDEEBE3B6F3F3E60E4FAC
4942,4,3D8047E2D4B9AEC646D6FD716446A9BB550C4A9C2DB20BF039288B5DC8D5CFE3
3663,1,4E88C229F0EAF968D4D4BDC5FF19B4486DC5D8F2BA274F0F4C26CA2EFA9CDC4B
6560,1,42AFB61FE01DC425CAD3E20324754568411646C910F00D158DDD4EA3F38701EC
402,1,42E047B4914A5C3E9B6D849C724B333E560CB70E05854305D8814AD526980777
5684,1,1BAD28836392AB767B31F71D5548A1ABB20DF0CAB88EC2772418EEF23EEC944C
6557,3,67A72F7115E85CEF5E832F4DCC4B9AFA7C336570127CDCE7E5E2CC3A2CC09555
4025,3,BD2AA4949227211B8136F97E0B14CF1A9CC4E90517ED6AE3362070B7EEBEF527
4183,1,0FD6AE5806DD333FBA81466FF163FC0FE74329B9223699489198807E2C2F44CE
5102,1,7A2221270B94A3F6E9739B56C9D03D963FAF647E2CD6748B8984B2D479B1738C
7365,3,08F82EBB1E668D3F707DFBB379B34153F239E1D5E7463FC64F253C3B4833F94C
4244,1,332A06E18C2B11BE643F0C7B6AEB11BD1C31F3AA2CCBF57AEFAB12525C441F53
4246,1,E82958297E4E0CC3D982CF391A32F112DA7E256CD98913CCD2DD7ED9194615CC
5759,3,F34C3BB70AE4626C20529316497FC4787962B9AD90A7017596A47ED27A815693
4268,1,929EB0E5B08907A67A069DFAEBD3C06709F6D4F00EFC25F2B09C345F8F501162
3951,1,5386B93EBC238B5BCE9D7684EBEDFBFD8956E57FB65953A6C28BCF29394A6F9B
2099,6,66BE580BBE5F798F31FDFC1227D19410B08DFC71C24F24C4D2BE15F390801C1C
3075,1,C50F352324F63C62BD9B6789AC977F89BCBDE87A53E713815CFF157949584E95
5376,3,BB8346B324EF3F3D5898F15DF6D26F71148DC41FDCE6DA94710941FE05BC56DC
3697,3,784F1BABDD78AFE7467D925CDB217F80CD95AEBAB217952BDC5543E01AF7BE6A
6014,1,37A40742749F37DB9BFCB9A8663E062C991799EAAE945F0CBEAD405355AF95E1
3274,1,B9C5860B26EFE919434E04210A9DD3831F81C2C80C30A77A1FF6362A59455353
7752,9,68CC3F54CD21F6DABA5CE126A69AB21DA5C7751F853C413633E394E389B3D095
7120,2,3F7E7D24D53067D6D7465BFDA4834E50F0246320F2D42DE96D2BE614A0463DE7
2804,2,B5CF0D436B7FDA5284286420BCA07DF8CAF8B6F5BCE77DC637356CBA3331E7EF
6899,1,BF92192DD866C157EE457B3BEB30FD71E9949F3CD76FF4351D4C192C0801FF4D
3419,2,AF02124FD564CCD05B7D179C5690616382324FD65B389DB843575EF437C35B3C
507,1,6ACA0A80FC9292104FE399AB1061B49A246706A649A833B2823616F86D2C6006
4995,1,5E198C02F24E1F008861B53D5DD1C42EFCAA464C06DA9DF3D9C7B27FFE0B8A59
8503,1,FCDAAAA7645FC9C2B813A50DED2AB0F76964688F7515B2DBE24BBBA5BAFCF0F7
7713,1,BABFB4128B42B05E344B54E71424652DCB7DA3D7EB804ACCDA196682DD643A01
386,2,62E56CA26AE931BD499C54D1CF2C46BBCAE56831EE6CF530C1B149A42CB2E43A
7916,10,3BDF98619C69CE24AB00D2411B67DACA98AB2BA7CBFD6277824E07CE8BE2EC9C
1549,3,DFFCB26167CDC8E2B27592C0B96802ECEC7B1EFC10D4F40D8DC0FD1F6A1D3DA7
8511,3,2037A417F60E22E324BDB17A6215EAC3C5154009B59C077DFF61F948A2A53658
1558,1,A923BCEBAADC66542C88D960DBE6CDE49EA20570D50CFE5125FB98472B0648C7
